"","fragment.ID.full","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","genotype","log.rate","K","fitted","residuals"
"131","M502a_2901","M502a",29,"T2",28.29159709,1.237749749,"GP","light","M502a","M5",0.805470784602667,301.44159709,0.655583775347514,0.149887009255152
"132","M502a_3002","M502a",30,"T2",29.37669617,1.002048943,"GP","light","M502a","M5",0.694171127647152,302.52669617,0.674252842168052,0.0199182854790992
"133","M502a_3104","M502a",31,"T2",29.89295471,1.259712616,"GP","light","M502a","M5",0.815237644136594,303.04295471,0.678887882898706,0.136349761237888
"134","M502a_3206","M502a",32,"T2",31.37027209,0.52760767,"GP","light","M502a","M5",0.423702897304511,304.52027209,0.642968698724916,-0.219265801420405
"135","M502a_3301","M502a",33,"T2",32.4228129,0.893646866,"GP","light","M502a","M5",0.638504528594512,305.5728129,0.489938660145552,0.14856586844896
"136","M502a_3403","M502a",34,"T2",33.24195602,0.282947422,"GP","light","M502a","M5",0.249160104279356,306.39195602,0.201878786509647,0.0472813177697089
"137","M502b_2702","M502b",27,"T2",26.36680936,0.888637243,"GP","light","M502b","M5",0.635855533550735,299.51680936,0.61308209046146,0.022773443089275
"138","M502b_2803","M502b",28,"T2",27.10755483,0.968368987,"GP","light","M502b","M5",0.677205274449681,300.25755483,0.629998151112815,0.0472071233368663
"139","M502b_2905","M502b",29,"T2",28.33359101,1.052219479,"GP","light","M502b","M5",0.71892188016586,301.48359101,0.656428659052151,0.0624932211137097
"140","M502b_3006","M502b",30,"T2",29.53410354,0.448842401,"GP","light","M502b","M5",0.37076489344816,302.68410354,0.676101325230108,-0.305336431781948
"141","M502b_3102","M502b",31,"T2",30.22556431,1.200896994,"GP","light","M502b","M5",0.788865001812659,303.37556431,0.679030262158938,0.109834739653721
"142","M502b_3204","M502b",32,"T2",31.23451846,0.979991643,"GP","light","M502b","M5",0.683092623990466,304.38451846,0.6518604173627,0.0312322066277656
"143","M502b_3305","M502b",33,"T2",32.38730323,0.657870058,"GP","light","M502b","M5",0.505533680903561,305.53730323,0.498397081816558,0.00713659908700243
"144","M502b_3401","M502b",34,"T2",33.03428728,0.345137175,"GP","light","M502b","M5",0.296495996700877,306.18428728,0.293323909384944,0.00317208731593371
"145","M502c_2701","M502c",27,"T2",26.45390876,0.739411416,"GP","light","M502c","M5",0.553546789334697,299.60390876,0.615089762715015,-0.0615429733803177
"146","M502c_2802","M502c",28,"T2",26.95631324,0.805906186,"GP","light","M502c","M5",0.591062507909133,300.10631324,0.626578252229773,-0.0355157443206399
"147","M502c_2904","M502c",29,"T2",28.58688328,0.906532191,"GP","light","M502c","M5",0.645285985040492,301.73688328,0.661375031307663,-0.0160890462671712
"148","M502c_3005","M502c",30,"T2",29.23617672,0.483276239,"GP","light","M502c","M5",0.394253316207461,302.38617672,0.672351538037286,-0.278098221829825
"149","M502c_3101","M502c",31,"T2",30.36687404,1.050484486,"GP","light","M502c","M5",0.718076099861833,303.51687404,0.678131497092494,0.0399446027693394
