fragment.ID.full,individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID,genotype
M601a_3404,M601a,34,T1,33.23344727,0.150926778,NP,light,M601a,M6
M601b_2701,M601b,27,T1,26.44632332,0.663930939,NP,light,M601b,M6
M601b_2802,M601b,28,T1,27.23649537,0.751172284,NP,light,M601b,M6
M601b_2904,M601b,29,T1,28.66475495,0.84386732,NP,light,M601b,M6
M601b_3005,M601b,30,T1,29.30248639,0.191654648,NP,light,M601b,M6
M601b_3101,M601b,31,T1,30.27211728,0.965872211,NP,light,M601b,M6
M601b_3203,M601b,32,T1,31.3384851,0.863433541,NP,light,M601b,M6
M601b_3304,M601b,33,T1,32.33406579,0.443292774,NP,light,M601b,M6
M601b_3406,M601b,34,T1,32.94159232,-0.115837454,NP,light,M601b,M6
M601c_2704,M601c,27,T1,26.37012921,0.544063104,NP,light,M601c,M6
M601c_2806,M601c,28,T1,27.32618607,0.440438456,NP,light,M601c,M6
M601c_2901,M601c,29,T1,28.23460825,0.96023634,NP,light,M601c,M6
M601c_3003,M601c,30,T1,29.35773685,0.518347571,NP,light,M601c,M6
M601c_3105,M601c,31,T1,29.9536235,0.680128127,NP,light,M601c,M6
M601c_3206,M601c,32,T1,31.15365516,0.130609466,NP,light,M601c,M6
M601c_3302,M601c,33,T1,32.61186898,0.419443791,NP,light,M601c,M6
M601c_3403,M601c,34,T1,33.12428359,0.086752982,NP,light,M601c,M6
M601d_2705,M601d,27,T1,26.40437636,0.488190034,NP,light,M601d,M6
M601d_2801,M601d,28,T1,27.18762583,0.525021387,NP,light,M601d,M6
M601d_2902,M601d,29,T1,28.41615608,0.755850897,NP,light,M601d,M6
M601d_3004,M601d,30,T1,29.37701222,0.232654073,NP,light,M601d,M6
M601d_3106,M601d,31,T1,29.98782707,0.431459376,NP,light,M601d,M6
M601d_3201,M601d,32,T1,31.33169213,0.737366309,NP,light,M601d,M6
M601d_3303,M601d,33,T1,32.49237472,0.467501159,NP,light,M601d,M6
M601d_3404,M601d,34,T1,33.14150519,0.022030405,NP,light,M601d,M6
M602a_2701,M602a,27,T2,26.43866805,0.4099111,NP,light,M602a,M6
M602a_2803,M602a,28,T2,27.07756725,0.524480107,NP,light,M602a,M6
M602a_2904,M602a,29,T2,28.68143306,0.531648215,NP,light,M602a,M6
M602a_3006,M602a,30,T2,29.57192266,0.043718913,NP,light,M602a,M6
M602a_3102,M602a,31,T2,30.24488705,0.661247815,NP,light,M602a,M6
M602a_3203,M602a,32,T2,31.30394894,0.550126205,NP,light,M602a,M6
M602a_3305,M602a,33,T2,32.2924029,0.21940574,NP,light,M602a,M6
M602a_3406,M602a,34,T2,33.19552568,-0.111797858,NP,light,M602a,M6
M602b_2706,M602b,27,T2,26.37300328,0.320793372,NP,light,M602b,M6
M602b_2802,M602b,28,T2,27.16379897,0.444140244,NP,light,M602b,M6
M602b_2903,M602b,29,T2,28.40655733,0.569412779,NP,light,M602b,M6
M602b_3005,M602b,30,T2,29.19965464,0.15570674,NP,light,M602b,M6
M602b_3101,M602b,31,T2,30.42266533,0.698312837,NP,light,M602b,M6
M602b_3202,M602b,32,T2,31.30294727,0.60844622,NP,light,M602b,M6
M602b_3304,M602b,33,T2,32.34450075,0.268622065,NP,light,M602b,M6
M602b_3405,M602b,34,T2,33.05790688,-0.072364035,NP,light,M602b,M6
M602c_2705,M602c,27,T2,26.37971919,0.524468917,NP,light,M602c,M6
M602c_2801,M602c,28,T2,27.2263183,0.527592025,NP,light,M602c,M6
M602c_2902,M602c,29,T2,28.49684891,0.567319751,NP,light,M602c,M6
M602c_3004,M602c,30,T2,29.3376388,0.158441065,NP,light,M602c,M6
M602c_3106,M602c,31,T2,30.07178241,0.259948792,NP,light,M602c,M6
