individual.ID,temp.Cat,treatment,Temp.C,genotype,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr,GP_umol.cm2.hr
M503a,32,T3,31.39769327,M5,0.552499856,-0.502779242,1.055279098
M503a,33,T3,32.35723031,M5,0.288511901,-0.39380318,0.682315081
M503a,34,T3,33.10527515,M5,-0.101919289,-0.297237673,0.195318384
M503b,27,T3,26.33363676,M5,0.37368746,-0.440466264,0.814153724
M503b,28,T3,27.1393223,M5,0.409541797,-0.480640078,0.890181875
M503b,29,T3,28.21418748,M5,0.236302659,-0.472449506,0.708752165
M503b,30,T3,29.10915241,M5,0.553732052,-0.448237986,1.001970038
M503b,31,T3,30.51218084,M5,0.504316253,-0.599704345,1.104020598
M503b,32,T3,31.42705577,M5,0.367637824,-0.364337437,0.731975261
M503b,33,T3,32.53770401,M5,0.063920007,-0.406828918,0.470748925
M503b,34,T3,32.9521349,M5,-0.042293565,-0.36929813,0.327004565
M503c,27,T3,26.44347531,M5,0.366383002,-0.340421143,0.706804145
M503c,28,T3,27.25127118,M5,0.352885463,-0.405999247,0.75888471
M503c,29,T3,28.46582548,M5,0.592344049,-0.443718577,1.036062626
M503c,30,T3,29.33620568,M5,0.331333572,-0.474230632,0.805564204
M503c,31,T3,29.87725553,M5,0.369914339,-0.543131799,0.913046138
M503c,32,T3,31.28943567,M5,0.648448583,-0.399929399,1.048377982
M503c,33,T3,32.48691024,M5,0.433282699,-0.349876695,0.783159394
M503c,34,T3,33.14485683,M5,0.00633777,-0.316436488,0.322774258
M503d,27,T3,26.4955094,M5,0.442347248,-0.41329122,0.855638468
M503d,28,T3,27.18859633,M5,0.434192761,-0.532718465,0.966911226
M503d,29,T3,28.54037168,M5,0.692394962,-0.484979861,1.177374823
M503d,30,T3,29.42594643,M5,0.136741981,-0.519539624,0.656281605
M503d,31,T3,30.06976585,M5,0.201043457,-0.539942879,0.740986336
M503d,32,T3,31.40303943,M5,0.677977658,-0.497457841,1.175435499
M503d,33,T3,32.53488081,M5,0.483561738,-0.458199533,0.941761271
M503d,34,T3,33.25881571,M5,-0.037806895,-0.347694033,0.309887138
M50Ca,27,C,26.51785573,M5,0.507261315,-0.498883033,1.006144348
M50Ca,28,C,27.24603197,M5,0.375936373,-0.576505411,0.952441784
M50Ca,29,C,28.45820459,M5,0.7936087,-0.536621857,1.330230557
M50Ca,30,C,29.23151756,M5,0.464101841,-0.701750358,1.165852199
M50Ca,31,C,30.0699239,M5,0.539487264,-0.636907195,1.176394459
M50Ca,32,C,31.34643096,M5,0.701562883,-0.512933019,1.214495902
M50Ca,33,C,32.43015666,M5,0.50218594,-0.442865176,0.945051116
M50Ca,34,C,33.18135662,M5,-0.097455834,-0.35335956,0.255903726
M50Cb,27,C,26.41612588,M5,0.431796645,-0.478604833,0.910401478
M50Cb,28,C,27.24797158,M5,0.526263364,-0.50944874,1.035712104
M50Cb,29,C,28.38731382,M5,0.601325205,-0.562430231,1.163755436
M50Cb,30,C,29.01960246,M5,0.609210658,-0.630812774,1.240023432
M50Cb,31,C,30.68093916,M5,0.67701952,-0.628480932,1.305500452
M50Cb,32,C,31.19506624,M5,0.612200139,-0.570206915,1.182407054
M50Cb,33,C,32.28596855,M5,-0.013956518,-0.460942467,0.446985949
M50Cb,34,C,33.16716834,M5,0.011106169,-0.39342328,0.404529449
M50Cc,27,C,26.41487449,M5,0.427326728,-0.365832164,0.793158892
M50Cc,28,C,27.13856787,M5,0.548960592,-0.486257209,1.035217801
M50Cc,29,C,28.73473366,M5,0.584079465,-0.537697461,1.121776926
M50Cc,30,C,29.31360184,M5,0.073051235,-0.512011128,0.585062363
M50Cc,31,C,30.36474967,M5,0.774499912,-0.586566646,1.361066558
M50Cc,32,C,31.24165259,M5,0.632548777,-0.535886432,1.168435209
M50Cc,33,C,32.46674477,M5,0.324024573,-0.452804156,0.776828729
M50Cc,34,C,33.10197827,M5,-0.135236967,-0.329939938,0.194702971
M50Cd,27,C,26.50462592,M5,1.863015459,-2.322717009,4.185732468
M50Cd,28,C,27.06772631,M5,2.333354827,-2.074003675,4.407358502
M50Cd,29,C,28.64926439,M5,2.755367819,-2.241822679,4.997190498
M50Cd,30,C,29.452809,M5,-0.163165618,-2.250455515,2.087289897
M50Cd,31,C,30.38137227,M5,2.67079689,-2.148722981,4.819519871
M50Cd,32,C,31.32223235,M5,2.702791383,-2.256516958,4.959308341
M50Cd,33,C,32.45307145,M5,1.215445033,-1.862827845,3.078272878
M50Cd,34,C,33.13682895,M5,-0.276558838,-1.359147794,1.082588956
M601a,27,T1,26.40911114,M6,0.460270626,-0.363419668,0.823690294
M601a,28,T1,27.29089219,M6,0.397767749,-0.422242705,0.820010454
M601a,29,T1,28.56582023,M6,0.681685245,-0.406690377,1.088375622
M601a,30,T1,29.32468353,M6,0.476281139,-0.509812075,0.986093214
M601a,31,T1,30.09948507,M6,0.648317849,-0.487607523,1.135925372
M601a,32,T1,31.39057931,M6,0.933385621,-0.477141755,1.410527376
M601a,33,T1,32.39024922,M6,0.548722648,-0.463218457,1.011941105
M601a,34,T1,33.23344727,M6,0.150926778,-0.317234974,0.468161752
M601b,27,T1,26.44632332,M6,0.663930939,-0.457893394,1.121824333
M601b,28,T1,27.23649537,M6,0.751172284,-0.555501667,1.306673951
M601b,29,T1,28.66475495,M6,0.84386732,-0.604093314,1.447960634
M601b,30,T1,29.30248639,M6,0.191654648,-0.504542527,0.696197175
M601b,31,T1,30.27211728,M6,0.965872211,-0.603252884,1.569125095
M601b,32,T1,31.3384851,M6,0.863433541,-0.532022166,1.395455707
M601b,33,T1,32.33406579,M6,0.443292774,-0.494776884,0.938069658
