"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species"
"2229",308.528053923855,0.266479579059841,0.393331484524434,0.347798114506665,"MA1","deep","GP","PAST"
"2230",308.5982250951,0.252046406293275,0.375587514027107,0.330319176174816,"MA1","deep","GP","PAST"
"2231",308.668396266345,0.237512084093422,0.357508925709821,0.31259030628397,"MA1","deep","GP","PAST"
"2232",308.73856743759,0.222877944827883,0.339096045846928,0.294613356117215,"MA1","deep","GP","PAST"
"2233",308.808738608835,0.208145326678821,0.320349437404236,0.276390293883495,"MA1","deep","GP","PAST"
"2234",308.87890978008,0.1933155728415,0.30126989909487,0.257923200931224,"MA1","deep","GP","PAST"
"2235",308.949080951325,0.178390030733345,0.282048719250531,0.239214267785076,"MA1","deep","GP","PAST"
"2236",309.01925212257,0.16328604606947,0.262714940059192,0.220265790022215,"MA1","deep","GP","PAST"
"2237",309.089423293815,0.147605654134983,0.244001266437444,0.20108016400396,"MA1","deep","GP","PAST"
"2238",309.15959446506,0.131252686940418,0.22499534313416,0.18165988247935,"MA1","deep","GP","PAST"
"2239",309.229765636305,0.114800689310192,0.205698769549252,0.162007530076944,"MA1","deep","GP","PAST"
"2240",309.29993680755,0.0982513996620487,0.186113343813213,0.142125778701832,"MA1","deep","GP","PAST"
"2241",309.370107978795,0.0806538238562802,0.166241058395206,0.122017382854031,"MA1","deep","GP","PAST"
"2242",309.44027915004,0.060623637711258,0.149126938005758,0.101685174884804,"MA1","deep","GP","PAST"
"2243",309.510450321285,0.0404439819043489,0.133445238602807,0.0811320602069245,"MA1","deep","GP","PAST"
"2244",309.58062149253,0.0193382100937007,0.117641804233169,0.0603610124747733,"MA1","deep","GP","PAST"
"2245",309.650792663775,-0.00267832379825255,0.101718154275124,0.0393750687496399,"MA1","deep","GP","PAST"
"2246",309.72096383502,-0.0248818098123661,0.0856758495029017,0.0181773246651831,"MA1","deep","GP","PAST"
"2247",309.791135006265,-0.047268984370137,0.0695164898917386,-0.00322907039271536,"MA1","deep","GP","PAST"
"2248",309.86130617751,-0.0698365619261748,0.0532417123409162,-0.0248409180776821,"MA1","deep","GP","PAST"
"2249",309.931477348755,-0.0925812389665719,0.0368531883258886,-0.0466549758331742,"MA1","deep","GP","PAST"
"2250",310.00164852,-0.115499697920651,0.0213012941906918,-0.0686679615888506,"MA1","deep","GP","PAST"
"2251",292.47744307,0.752054891835634,0.992005907827383,0.854825298458973,"SA2","shallow","GP","PAST"
"2252",292.547547018795,0.75817635134116,0.992046812196201,0.858323223244178,"SA2","shallow","GP","PAST"
"2253",292.61765096759,0.764270576106416,0.992098344693824,0.861806471173499,"SA2","shallow","GP","PAST"
"2254",292.687754916386,0.770337112341865,0.992261817088224,0.865274781393119,"SA2","shallow","GP","PAST"
"2255",292.757858865181,0.776375498941762,0.992424437764333,0.868727888129268,"SA2","shallow","GP","PAST"
"2256",292.827962813976,0.782385267421687,0.992586179934088,0.872165520614124,"SA2","shallow","GP","PAST"
"2257",292.898066762771,0.788365941857817,0.992747015879021,0.875587403011316,"SA2","shallow","GP","PAST"
"2258",292.968170711566,0.794317038828048,0.992906916918575,0.878993254341088,"SA2","shallow","GP","PAST"
"2259",293.038274660361,0.800238067355102,0.993065853377367,0.882382788405148,"SA2","shallow","GP","PAST"
"2260",293.108378609157,0.806128528851721,0.993223794551358,0.885755713711236,"SA2","shallow","GP","PAST"
"2261",293.178482557952,0.811987917068091,0.993380708672897,0.889111733397464,"SA2","shallow","GP","PAST"
"2262",293.248586506747,0.817632014127883,0.993536562874606,0.892450545156452,"SA2","shallow","GP","PAST"
"2263",293.318690455542,0.823149881361914,0.993691323152058,0.895771841159318,"SA2","shallow","GP","PAST"
"2264",293.388794404337,0.828645272073055,0.993844954325232,0.899075307979556,"SA2","shallow","GP","PAST"
"2265",293.458898353132,0.834117759601427,0.993997419998667,0.902360626516866,"SA2","shallow","GP","PAST"
