fragment.ID.full,Temp.C.x,fragment.ID,genotype,run.x,temp.Cat,light_dark.x,treatment,umol.sec.corr.x,umol.cm2.hr.x,umol.cm2.hr.c.x,ln.rate.x,rate.type.x,frag.ID,fragment.ID.full.y,Temp.C.y,run.y,light_dark.y,umol.sec.corr.y,umol.cm2.hr.y,umol.cm2.hr.c.y,ln.rate.y,rate.type.y,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr
K203a_3401,33.1084862,K203a,K2,3401,34,light,T3,-0.000714047,-0.080221642,0.080221642,-1.713567843,NP,K203a_3401,K203a_3401D,33.13384106,3401D,dark,-0.004046705,-0.454638324,0.454638324,-0.589439046,R,0.080221642,0.454638324
K203b_2701,26.27048185,K203b,K2,2701,27,light,T3,0.004257099,0.58934919,0.58934919,-0.372007329,NP,K203b_2701,K203b_2701D,26.30138098,2701D,dark,-0.003261912,-0.451576326,0.451576326,-0.594975053,R,0.58934919,0.451576326
K203b_2802,26.92302322,K203b,K2,2802,28,light,T3,0.004845401,0.670793149,0.670793149,-0.260335231,NP,K203b_2802,K203b_2802D,27.02715111,2802D,dark,-0.003861881,-0.53463555,0.53463555,-0.454704382,R,0.670793149,0.53463555
K203b_2904,28.62893614,K203b,K2,2904,29,light,T3,0.004658702,0.64494678,0.64494678,-0.294442499,NP,K203b_2904,K203b_2904D,28.42529059,2904D,dark,-0.003588257,-0.496755169,0.496755169,-0.516248351,R,0.64494678,0.496755169
K203b_3005,29.24767763,K203b,K2,3005,30,light,T3,0.00141648,0.196096297,0.196096297,-1.217070551,NP,K203b_3005,K203b_3005D,29.27751589,3005D,dark,-0.003508107,-0.485659378,0.485659378,-0.535016924,R,0.196096297,0.485659378
K203b_3101,30.5093146,K203b,K2,3101,31,light,T3,0.006424607,0.889417074,0.889417074,-0.010639324,NP,K203b_3101,K203b_3101D,30.49076319,3101D,dark,-0.004462052,-0.617722653,0.617722653,-0.331672062,R,0.889417074,0.617722653
K203b_3203,31.31001639,K203b,K2,3203,32,light,T3,0.005786969,0.801142963,0.801142963,-0.104091362,NP,K203b_3203,K203b_3203D,31.32148815,3203D,dark,-0.004541309,-0.628694881,0.628694881,-0.31650018,R,0.801142963,0.628694881
K203b_3304,32.36561462,K203b,K2,3304,33,light,T3,0.002293272,0.317478661,0.317478661,-0.873521847,NP,K203b_3304,K203b_3304D,32.40673591,3304D,dark,-0.00372943,-0.516299099,0.516299099,-0.484022882,R,0.317478661,0.516299099
K203b_3406,33.04200767,K203b,K2,3406,34,light,T3,-0.000869167,-0.1203268,0.1203268,-1.512643381,NP,K203b_3406,K203b_3406D,33.08540133,3406D,dark,-0.00300998,-0.416698997,0.416698997,-0.660294785,R,0.1203268,0.416698997
K203c_2703,26.27916124,K203c,K2,2703,27,light,T3,0.004543647,0.503687259,0.503687259,-0.504698998,NP,K203c_2703,K203c_2703D,26.29913018,2703D,dark,-0.003313955,-0.367369444,0.367369444,-0.760635234,R,0.503687259,0.367369444
K203c_2805,27.28471706,K203c,K2,2805,28,light,T3,0.004440127,0.492211558,0.492211558,-0.523891347,NP,K203c_2805,K203c_2805D,27.23155203,2805D,dark,-0.003644754,-0.404040165,0.404040165,-0.685099321,R,0.492211558,0.404040165
K203c_2906,28.23745869,K203c,K2,2906,29,light,T3,0.003661681,0.405916652,0.405916652,-0.681383342,NP,K203c_2906,K203c_2906D,28.27242127,2906D,dark,-0.003459335,-0.383485555,0.383485555,-0.726733839,R,0.405916652,0.383485555
K203c_3002,29.46108923,K203c,K2,3002,30,light,T3,0.005555578,0.615865111,0.615865111,-0.334263522,NP,K203c_3002,K203c_3002D,29.43878371,3002D,dark,-0.003997349,-0.443127223,0.443127223,-0.61041169,R,0.615865111,0.443127223
K203c_3104,30.06503908,K203c,K2,3104,31,light,T3,0.006333519,0.702103997,0.702103997,-0.220517008,NP,K203c_3104,K203c_3104D,30.08389357,3104D,dark,-0.004625467,-0.512757403,0.512757403,-0.489786175,R,0.702103997,0.512757403
K203c_3205,31.21356399,K203c,K2,3205,32,light,T3,0.003487269,0.38658217,0.38658217,-0.720349492,NP,K203c_3205,K203c_3205D,31.2909715,3205D,dark,-0.004174119,-0.462723107,0.462723107,-0.574967589,R,0.38658217,0.462723107
K203c_3301,32.49912536,K203c,K2,3301,33,light,T3,0.005000205,0.554299055,0.554299055,-0.424190761,NP,K203c_3301,K203c_3301D,32.54648607,3301D,dark,-0.00393594,-0.436319711,0.436319711,-0.623024819,R,0.554299055,0.436319711
K203c_3402,33.11515152,K203c,K2,3402,34,light,T3,0.000311277,0.034506643,0.034506643,-2.00614169,NP,K203c_3402,K203c_3402D,33.20108907,3402D,dark,-0.003194588,-0.354136983,0.354136983,-0.789356402,R,0.034506643,0.354136983
K203d_2704,26.49429016,K203d,K2,2704,27,light,T3,0.002350192,0.469605179,0.469605179,-0.562811827,NP,K203d_2704,K203d_2704D,26.43550211,2704D,dark,-0.001626755,-0.325051074,0.325051074,-0.855545944,R,0.469605179,0.325051074
K203d_2805,27.28950498,K203d,K2,2805,28,light,T3,0.002209659,0.441524342,0.441524342,-0.613367261,NP,K203d_2805,K203d_2805D,27.26851339,2805D,dark,-0.002004283,-0.400487029,0.400487029,-0.692173597,R,0.441524342,0.400487029
K203d_2901,28.39194861,K203d,K2,2901,29,light,T3,0.003881371,0.775558643,0.775558643,-0.132893147,NP,K203d_2901,K203d_2901D,28.23725015,2901D,dark,-0.002052608,-0.410143056,0.410143056,-0.673064091,R,0.775558643,0.410143056
K203d_3002,29.41619267,K203d,K2,3002,30,light,T3,0.00253979,0.507489731,0.507489731,-0.498420007,NP,K203d_3002,K203d_3002D,29.39019092,3002D,dark,-0.002229316,-0.445452109,0.445452109,-0.60614027,R,0.507489731,0.445452109
K203d_3104,30.18822623,K203d,K2,3104,31,light,T3,0.003069391,0.613312348,0.613312348,-0.337835878,NP,K203d_3104,K203d_3104D,30.15722801,3104D,dark,-0.002511845,-0.501905922,0.501905922,-0.507654121,R,0.613312348,0.501905922
K203d_3206,31.29577238,K203d,K2,3206,32,light,T3,0.000703798,0.140629936,0.140629936,-1.424495062,NP,K203d_3206,K203d_3206D,31.37224218,3206D,dark,-0.002115795,-0.42276882,0.42276882,-0.64861594,R,0.140629936,0.42276882
K203d_3301,32.37924261,K203d,K2,3301,33,light,T3,0.00254877,0.50928401,0.50928401,-0.495470766,NP,K203d_3301,K203d_3301D,32.4851981,3301D,dark,-0.002554068,-0.510342596,0.510342596,-0.493734847,R,0.50928401,0.510342596
K203d_3403,33.1130971,K203d,K2,3403,34,light,T3,-5.14E-05,-0.010263858,0.010263858,-2.204879075,NP,K203d_3403,K203d_3403D,33.12367408,3403D,dark,-0.00171564,-0.342811607,0.342811607,-0.814610865,R,0.010263858,0.342811607
K20Ca_2704,26.36481988,K20Ca,K2,2704,27,light,C,0.006487332,0.526807765,0.526807765,-0.467115379,NP,K20Ca_2704,K20Ca_2704D,26.32516125,2704D,dark,-0.00568459,-0.461620614,0.461620614,-0.576928722,R,0.526807765,0.461620614
K20Ca_2806,27.30945628,K20Ca,K2,2806,28,light,C,0.005814033,0.472132129,0.472132129,-0.558385319,NP,K20Ca_2806,K20Ca_2806D,27.21054076,2806D,dark,-0.005043175,-0.409534086,0.409534086,-0.674258528,R,0.472132129,0.409534086
K20Ca_2901,28.40125521,K20Ca,K2,2901,29,light,C,0.00971159,0.788635596,0.788635596,-0.118068031,NP,K20Ca_2901,K20Ca_2901D,28.28416032,2901D,dark,-0.006898603,-0.560205271,0.560205271,-0.415204475,R,0.788635596,0.560205271
K20Ca_3003,29.24296276,K20Ca,K2,3003,30,light,C,0.006846785,0.555997366,0.555997366,-0.421598505,NP,K20Ca_3003,K20Ca_3003D,29.2682474,3003D,dark,-0.00668773,-0.543081201,0.543081201,-0.441484277,R,0.555997366,0.543081201
K20Ca_3105,30.00014011,K20Ca,K2,3105,31,light,C,0.009189874,0.746269352,0.746269352,-0.166917587,NP,K20Ca_3105,K20Ca_3105D,30.08649883,3105D,dark,-0.007559743,-0.613893551,0.613893551,-0.337021415,R,0.746269352,0.613893551
K20Ca_3206,31.27275612,K20Ca,K2,3206,32,light,C,0.003904876,0.317097806,0.317097806,-0.874434539,NP,K20Ca_3206,K20Ca_3206D,31.31544283,3206D,dark,-0.006472196,-0.525578608,0.525578608,-0.469078285,R,0.317097806,0.525578608
