"","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","genotype"
"355","M502c","28","T2","26.9563132375476","0.418081082126637","NP","light","M502c","M5"
"357","M502c","29","T2","28.5868832768594","0.510023030161505","NP","light","M502c","M5"
"359","M502c","30","T2","29.2361767185333","0.0283817892366865","NP","light","M502c","M5"
"361","M502c","31","T2","30.3668740424295","0.587121123382432","NP","light","M502c","M5"
"363","M502c","32","T2","31.2655087054767","0.518690799640539","NP","light","M502c","M5"
"365","M502c","33","T2","32.4080494040169","0.233827418131595","NP","light","M502c","M5"
"367","M502c","34","T2","33.1537392257282","-0.0868088181089943","NP","light","M502c","M5"
"369","M502d","27","T2","26.214463918169","0.438371543280247","NP","light","M502d","M5"
"371","M502d","28","T2","27.1715809202896","0.469365737381529","NP","light","M502d","M5"
"373","M502d","29","T2","28.4141988380704","0.519744472964001","NP","light","M502d","M5"
"375","M502d","30","T2","29.0432000219092","0.516401293832186","NP","light","M502d","M5"
"377","M502d","31","T2","30.2206982336645","0.621342476438896","NP","light","M502d","M5"
"379","M502d","32","T2","31.1820281140697","0.522994125037743","NP","light","M502d","M5"
"381","M502d","33","T2","32.572684046275","0.0300678911061332","NP","light","M502d","M5"
"383","M502d","34","T2","33.0755921652439","-0.00280970610514201","NP","light","M502d","M5"
"385","M503a","27","T3","26.3408255676694","0.433606940900771","NP","light","M503a","M5"
"387","M503a","28","T3","27.1407145753612","0.436030083387509","NP","light","M503a","M5"
"389","M503a","29","T3","28.6271168044467","0.520804048958508","NP","light","M503a","M5"
"391","M503a","30","T3","29.3734476819663","-0.0213134813091035","NP","light","M503a","M5"
"393","M503a","31","T3","30.2661699703874","0.565551199227437","NP","light","M503a","M5"
"395","M503a","32","T3","31.3976932715979","0.552499855969642","NP","light","M503a","M5"
"397","M503a","33","T3","32.3572303087487","0.288511901368556","NP","light","M503a","M5"
"399","M503a","34","T3","33.1052751484431","-0.101919288972819","NP","light","M503a","M5"
"401","M503b","27","T3","26.3336367586385","0.373687459658097","NP","light","M503b","M5"
"403","M503b","28","T3","27.1393223048155","0.4095417966694","NP","light","M503b","M5"
"405","M503b","29","T3","28.21418747723","0.236302659049182","NP","light","M503b","M5"
"407","M503b","30","T3","29.1091524105606","0.553732052324955","NP","light","M503b","M5"
"409","M503b","31","T3","30.5121808421294","0.504316252681762","NP","light","M503b","M5"
"411","M503b","32","T3","31.4270557670605","0.367637824119119","NP","light","M503b","M5"
"413","M503b","33","T3","32.5377040147216","0.0639200073739373","NP","light","M503b","M5"
"415","M503b","34","T3","32.9521349026474","-0.0422935650609566","NP","light","M503b","M5"
"417","M503c","27","T3","26.4434753093433","0.366383001916879","NP","light","M503c","M5"
"419","M503c","28","T3","27.2512711779591","0.352885463186932","NP","light","M503c","M5"
"421","M503c","29","T3","28.4658254830574","0.592344048792055","NP","light","M503c","M5"
"423","M503c","30","T3","29.336205677664","0.331333571893792","NP","light","M503c","M5"
"425","M503c","31","T3","29.8772555287039","0.36991433933411","NP","light","M503c","M5"
"427","M503c","32","T3","31.2894356660229","0.648448582504753","NP","light","M503c","M5"
"429","M503c","33","T3","32.4869102433888","0.433282699447408","NP","light","M503c","M5"
"431","M503c","34","T3","33.1448568330388","0.00633777029906552","NP","light","M503c","M5"
"433","M503d","27","T3","26.4955093973151","0.442347248349574","NP","light","M503d","M5"
"435","M503d","28","T3","27.1885963349658","0.434192761130032","NP","light","M503d","M5"
"437","M503d","29","T3","28.5403716778791","0.692394961583748","NP","light","M503d","M5"
"439","M503d","30","T3","29.4259464296761","0.13674198122716","NP","light","M503d","M5"
"441","M503d","31","T3","30.0697658490724","0.201043456844858","NP","light","M503d","M5"
"443","M503d","32","T3","31.403039430598","0.677977657621659","NP","light","M503d","M5"
"445","M503d","33","T3","32.5348808088924","0.483561737659463","NP","light","M503d","M5"
"447","M503d","34","T3","33.2588157096962","-0.0378068948769131","NP","light","M503d","M5"
"449","M50Ca","27","C","26.5178557346","0.507261315084893","NP","light","M50Ca","M5"
"451","M50Ca","28","C","27.2460319666556","0.375936373145753","NP","light","M50Ca","M5"
"453","M50Ca","29","C","28.4582045909088","0.793608700098683","NP","light","M50Ca","M5"
"455","M50Ca","30","C","29.2315175561101","0.464101840765061","NP","light","M50Ca","M5"
"457","M50Ca","31","C","30.0699238960909","0.539487264320064","NP","light","M50Ca","M5"
"459","M50Ca","32","C","31.3464309633375","0.701562883315815","NP","light","M50Ca","M5"
"461","M50Ca","33","C","32.4301566643817","0.502185939560346","NP","light","M50Ca","M5"
"463","M50Ca","34","C","33.1813566216661","-0.0974558336819745","NP","light","M50Ca","M5"
"465","M50Cb","27","C","26.4161258784011","0.431796644824394","NP","light","M50Cb","M5"
"467","M50Cb","28","C","27.2479715830898","0.526263364353253","NP","light","M50Cb","M5"
"469","M50Cb","29","C","28.3873138213094","0.601325205302287","NP","light","M50Cb","M5"
"471","M50Cb","30","C","29.0196024630025","0.609210657599714","NP","light","M50Cb","M5"
"473","M50Cb","31","C","30.680939161971","0.677019519615985","NP","light","M50Cb","M5"
"475","M50Cb","32","C","31.1950662409579","0.612200138814953","NP","light","M50Cb","M5"
"477","M50Cb","33","C","32.2859685533764","-0.0139565184256409","NP","light","M50Cb","M5"
"479","M50Cb","34","C","33.1671683397942","0.011106168730796","NP","light","M50Cb","M5"
"481","M50Cc","27","C","26.4148744859","0.427326727862573","NP","light","M50Cc","M5"
"483","M50Cc","28","C","27.1385678706891","0.548960592014317","NP","light","M50Cc","M5"
"485","M50Cc","29","C","28.7347336622002","0.584079464543037","NP","light","M50Cc","M5"
"487","M50Cc","30","C","29.3136018372149","0.0730512354519967","NP","light","M50Cc","M5"
"489","M50Cc","31","C","30.3647496702018","0.774499912040033","NP","light","M50Cc","M5"
"491","M50Cc","32","C","31.2416525858008","0.632548776760932","NP","light","M50Cc","M5"
"493","M50Cc","33","C","32.4667447723287","0.324024573403497","NP","light","M50Cc","M5"
"495","M50Cc","34","C","33.1019782712276","-0.13523696745615","NP","light","M50Cc","M5"
"497","M50Cd","27","C","26.5046259222488","1.86301545917832","NP","light","M50Cd","M5"
"499","M50Cd","28","C","27.0677263079742","2.33335482739396","NP","light","M50Cd","M5"
"501","M50Cd","29","C","28.6492643912035","2.75536781857472","NP","light","M50Cd","M5"
"503","M50Cd","30","C","29.4528090001804","-0.163165617699726","NP","light","M50Cd","M5"
