"","genotype","temp.Cat","treatment","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"47","M5",30,"T2",0.23443414975,4,0.136430671254983,-0.51586875125,0.0306136041949255,0.750302901,0.164793476612438,29.2975441125,0.104356075209475
"48","M5",30,"T3",0.250123531,4,0.124266726622924,-0.44350441475,0.0399781134833349,0.69362794575,0.14595554260993,29.31118805,0.0698152496169879
"49","M5",31,"C",1.1654508965,4,0.504091998150329,-1.0001694385,0.383009389938196,2.165620335,0.885478381730552,30.37424625,0.124770989866278
"50","M5",31,"T1",0.719702548,4,0.0183438857031056,-0.56337737325,0.0235400532945357,1.28307992125,0.0371118019249578,30.4955866825,0.0170908287426184
"51","M5",31,"T2",0.59031890975,4,0.0108007519570875,-0.5902752925,0.0469917819980907,1.18059420225,0.0452237489277929,30.1765228225,0.100416214890221
"52","M5",31,"T3",0.410206312,4,0.0808090640089598,-0.5727618055,0.0181237037143082,0.9829681175,0.0976909156894014,30.1813430475,0.135882283928762
"53","M5",32,"C",1.1622757955,4,0.513861087347342,-0.968885831,0.429371657540343,2.1311616265,0.94276487361211,31.276345535,0.0351514471214023
"54","M5",32,"T1",0.54850260425,4,0.0609277415861411,-0.5614363975,0.02264287204491,1.10993900175,0.0629744460958459,31.2751690225,0.0416469311203113
"55","M5",32,"T2",0.3968506345,4,0.116719624686849,-0.4868729745,0.0057062994791961,0.883723609,0.119094384984866,31.2630818425,0.0396665404938433
"56","M5",32,"T3",0.56164098025,4,0.0699943850561273,-0.44112597975,0.034842552888095,1.00276696,0.0948597467197918,31.379306035,0.0306296209397792
"57","M5",33,"C",0.506924757,4,0.259292823181716,-0.804859911,0.352675346512916,1.311784668,0.597845351748465,32.4089853575,0.041694416354094
"58","M5",33,"T1",0.25556021675,4,0.0751133699418514,-0.45602049375,0.0144513642648116,0.7115807105,0.0839793451123219,32.47277292,0.0482684100091332
"59","M5",33,"T2",0.22999311325,4,0.0814971723465214,-0.4123924405,0.0254298591333665,0.64238555375,0.0950290716244569,32.447712395,0.0422890054595173
"60","M5",33,"T3",0.31731908625,4,0.0940412702087402,-0.4021770815,0.0222965006770002,0.71949616775,0.0986206564260797,32.4791813425,0.042287826730909
"61","M5",34,"C",-0.1245363675,4,0.0594121111175864,-0.608967643,0.250403272014691,0.4844312755,0.204194401638915,33.146833045,0.0176007438540437
"62","M5",34,"T1",0.0550619415,4,0.02410042590947,-0.44341718,0.0255493298804144,0.4984791215,0.0461985695328066,33.045025655,0.0574389571991258
"63","M5",34,"T2",-0.046161214,4,0.0186007409825884,-0.335158362,0.0174910949516144,0.288997148,0.0305380752818898,33.126393675,0.0457955746318341
"64","M5",34,"T3",-0.04392049475,4,0.0222294405246165,-0.332666581,0.0160372434679738,0.28874608625,0.0313545680958434,33.1152706475,0.0633730418801439
