"","term","estimate","std.error","statistic","p.value","genotype","treatment","rate.type"
"62","E",54.5792735607524,5655787.00500816,9.65016424989534e-06,0.99999317630342,"ML1","deep","R"
"63","Eh",54.4729345102889,5655786.99988592,9.6313624454718e-06,0.999993189598303,"ML1","deep","R"
"64","Th",292.181896654747,43837.0500285469,0.00666518154083079,0.99528705727705,"ML1","deep","R"
"65","lnc",1.36816582921579,0.262356209544314,5.21491689330376,0.00644986683359299,"SL3","shallow","GP"
"66","E",0.294794133933533,0.350649424539144,0.840709019616896,0.447829678828313,"SL3","shallow","GP"
"67","Eh",3.39849065481813,1.75659581497391,1.9347026936123,0.125136893595753,"SL3","shallow","GP"
"68","Th",306.6548189497,3.02202292131868,101.473359710948,5.65538220001737e-08,"SL3","shallow","GP"
"69","lnc",1.35282513783192,0.0888716137290546,15.2222411754142,0.000108603561974832,"SL2","shallow","GP"
"70","E",0.363547960391389,0.128021281908136,2.83974629040397,0.0468796766488253,"SL2","shallow","GP"
"71","Eh",3.73915762424713,0.599312431428815,6.23907903150388,0.00336297414835965,"SL2","shallow","GP"
"72","Th",306.831688546655,0.980729433006307,312.86069146115,6.26206639761668e-10,"SL2","shallow","GP"
"73","lnc",1.91230020133651,0.795631738643676,2.40349914219917,0.0955733806572228,"SL1","shallow","GP"
"74","E",0.907724337172695,0.770592332804435,1.17795661665772,0.323748600337027,"SL1","shallow","GP"
"75","Eh",2.42686739002759,0.407190882302783,5.96002389911813,0.00944876093441477,"SL1","shallow","GP"
"76","Th",300.218775781044,4.93023643456472,60.8933830589303,9.75750884170498e-06,"SL1","shallow","GP"
"77","lnc",1.20371573898131,0.128824136984862,9.3438680603989,0.000730448233453388,"ML3","deep","GP"
"78","E",0.21967143691072,0.193868420510762,1.13309551051161,0.320486228633047,"ML3","deep","GP"
"79","Eh",4.05847477089578,1.38988816149978,2.92000096361452,0.0432434248465496,"ML3","deep","GP"
"80","Th",307.869398902468,1.50484733625158,204.585137299934,3.42441002385515e-09,"ML3","deep","GP"
"81","lnc",1.23073949573157,0.038005937714796,32.3828214677211,5.42171343910617e-06,"ML2","deep","GP"
"82","E",0.176663228953384,0.0604784126589881,2.92109566349753,0.0431961464088549,"ML2","deep","GP"
"83","Eh",5.55365955673407,0.80870647285799,6.86733659631447,0.00235488709526874,"ML2","deep","GP"
"84","Th",307.908301871742,0.350686000575374,878.017090407239,1.00956809434531e-11,"ML2","deep","GP"
"85","lnc",1.22156755506607,0.160543572036009,7.60894715107051,0.00471119179493186,"ML1","deep","GP"
"86","E",0,0.23590265475975,0,1,"ML1","deep","GP"
"87","Eh",5.75584123621906,4.0603953472574,1.41755684950897,0.251332407426094,"ML1","deep","GP"
"88","Th",308.492509993629,1.3695988146857,225.242973844442,1.92968389563467e-07,"ML1","deep","GP"
