Genotype,coral ID,Treatment,Blastate vol (ml),Protein sub sample (ml),Protein A562 - rep 1,Protein A562 - rep 2,Protein A562 - rep 3,Protein A562 - rep 4,"Protein avg A562 1,3","Protein avg A562 2,4",Final Protein Avg,Protein ug/ml ,Protein 3D ug/cm2,zoox 1,zoox 2,zoox 3,zoox 4,total zoox,sqrs 1,sqrs 2,sqrs 3,sqr 4,total sqrs,zoox/ml,zoox/coral,zoox/cm2 3D,zoox/cm2log10,zoox/protein,Chl Subsample(ml),750a,663a,630a,750b,663b,630b,663a corrected,630a corrected,663b corrected,630b corrected,Avg 663,Avg 630,C value ug ml,Chl(ug)a,Chl (ug),Chl/zoox (pg),Chl/protein,Chl ng/cm2 3D,Chl ug/cm2,Chl ug/cm2 log10,SA cm2,Coral ID,bw_ini,bw_fi,growth,growth.rate
M6,M601b,1,47.5,1.5,0.553,0.606,na,na,0.553,0.606,0.5795,27.52625,1.679602746,102,128,141,129,500,3,4,4,3,14,357142.8571,16964285.71,1035130.498,6.014995104,616294.8354,5,0.022,0.088,0.054,0.023,0.089,0.054,0.066,0.032,0.066,0.031,0.066,0.0315,0.73422,34.87545,34.87545,2.055816,1.266988783,2128.03784,2.12803784,0.327979346,16.38854787,M601b,4.432315,4.570316376,0.031135282,3.113528164
M6,M601d,1,35,1.5,0.603,0.64,na,na,0.603,0.64,0.6215,21.7525,1.143441894,108,121,131,190,550,2,3,2,2,9,611111.1111,21388888.89,1124328.312,6.050893147,983284.1691,5,0.013,0.094,0.047,0.015,0.095,0.047,0.081,0.034,0.08,0.032,0.0805,0.033,0.898995,31.464825,31.464825,1.471082727,1.446492357,1653.97996,1.65397996,0.218530243,19.02370389,M601d,3.02973,3.182928304,0.050565002,5.056500211
M6,M601a,1,50,1.5,0.518,0.533,na,na,0.518,0.533,0.5255,26.275,1.395769866,112,132,115,114,473,4,4,5,3,16,295625,14781250,785203.552,5.894982256,562559.4672,5,0.01,0.073,0.035,0.013,0.076,0.038,0.063,0.025,0.063,0.025,0.063,0.025,0.70409,35.2045,35.2045,2.381699789,1.339847764,1870.119134,1.870119134,0.271869274,18.82473654,M601a,4.295255,4.45818685,0.037932987,3.79329866
M6,M60Cc,c,37.5,1.5,0.551,0.577,na,na,0.551,0.577,0.564,21.15,0.758541381,107,112,130,128,477,2,6,5,4,17,280588.2353,10522058.82,377371.9638,5.576769632,497496.8711,5,0.007,0.089,0.04,0.008,0.09,0.042,0.082,0.033,0.082,0.034,0.082,0.0335,0.91582,34.34325,34.34325,3.263928721,1.623794326,1231.715191,1.231715191,0.090510298,27.88246036,M60Cc,4.019828975,4.195152578,0.043614692,4.361469216
M6,M60Cd,c,57.5,1.5,0.293,0.288,na,na,0.293,0.288,0.2905,16.70375,0.906866748,105,126,110,123,464,7,9,8,6,30,154666.6667,8893333.333,482829.8004,5.683794067,532415.3758,5,0.012,0.053,0.027,0.011,0.054,0.028,0.041,0.015,0.043,0.017,0.042,0.016,0.46982,27.01465,27.01465,3.03762931,1.617280551,1466.657954,1.466657954,0.166328842,18.41918897,M60Cd,3.149293177,3.268202569,0.037757486,3.775748583
M6,M602b,2,30,1.5,0.598,0.658,na,na,0.598,0.658,0.628,18.84,0.832206943,103,103,115,116,437,9,8,6,9,32,136562.5,4096875,180968.5679,5.25760315,217456.2102,5,0.013,0.124,0.058,0.009,0.118,0.053,0.111,0.045,0.109,0.044,0.11,0.0445,1.22882,36.8646,36.8646,8.998224256,1.956719745,1628.395757,1.628395757,0.211759962,22.63859988,M602b,4.973110285,5.141725707,0.033905426,3.390542591
M6,M603c,3,32.5,1.5,0.7,0.663,na,na,0.7,0.663,0.6815,22.14875,0.902528009,102,120,114,117,453,3,2,4,3,12,377500,12268750,499932.9763,5.698911784,553925.1651,5,0.069,0.165,0.122,0.056,0.144,0.102,0.096,0.053,0.088,0.046,0.092,0.0495,1.01988,33.1461,33.1461,2.701668874,1.496522377,1350.653361,1.350653361,0.130543904,24.54078963,M603c,3.750386215,3.927697936,0.047278257,4.727825654
M6,M60Ca,c,30,1.5,0.637,0.58,na,na,0.637,0.58,0.6085,18.255,0.762325359,125,121,120,129,495,7,4,4,4,19,260526.3158,7815789.474,326385.8953,5.513731382,428145.1369,5,0.014,0.125,0.058,0.02,0.129,0.064,0.111,0.044,0.109,0.044,0.11,0.044,1.22914,36.8742,36.8742,4.717911111,2.019950698,1539.859642,1.539859642,0.187481137,23.94646824,M60Ca,4.79708222,4.958608374,0.03367175,3.367175014
M6,M602c,2,25,1.5,0.808,0.806,na,na,0.808,0.806,0.807,20.175,0.927210165,68,97,76,98,339,9,9,9,9,36,94166.66667,2354166.667,108193.6685,5.034201847,116687.3193,5,0.007,0.066,0.026,0.008,0.066,0.029,0.059,0.019,0.058,0.021,0.0585,0.02,0.655855,16.396375,16.396375,6.964831858,0.812707559,753.5507094,0.753550709,-0.122887517,21.758821,M602c,3.574566256,3.745550736,0.04783363,4.783363011
M6,M602d,2,40,1.5,1.051,1.045,na,na,1.051,1.045,1.048,41.92,1.168521941,116,109,107,112,444,7,9,8,7,31,143225.8065,5729032.258,159697.0395,5.203296865,136665.8459,5,0.03,0.237,0.114,0.02,0.229,0.105,0.207,0.084,0.209,0.085,0.208,0.0845,2.32336,92.9344,92.9344,16.22165766,2.216946565,2590.550704,2.590550704,0.413392097,35.87437986,M602d,4.848224055,5.127871852,0.057680461,5.768046066
M6,M603a,3,25,1.5,1.138,1.124,na,na,1.138,1.124,1.131,28.275,1.323754596,116,114,121,103,454,4,2,3,1,10,454000,11350000,531374.5238,5.725400729,401414.6773,5,0.009,0.151,0.064,0.01,0.14,0.06,0.142,0.055,0.13,0.05,0.136,0.0525,1.52088,38.022,38.022,3.349955947,1.344721485,1780.081246,1.780081246,0.250439825,21.35969922,M603a,4.833658096,5.029089999,0.04043147,4.04314703
M6,M60Cb,c,22.5,1.5,0.666,0.653,na,na,0.666,0.653,0.6595,14.83875,0.763012908,144,113,143,154,554,2,3,2,2,9,615555.5556,13850000,712171.0911,5.852584341,933367.0289,5,0.005,0.072,0.033,0.006,0.082,0.037,0.067,0.028,0.076,0.031,0.0715,0.0295,0.798365,17.9632125,17.9632125,1.296982852,1.210561031,923.6736928,0.923673693,-0.034481425,19.44757401,M60Cb,4.55372104,4.737532488,0.040365109,4.036510935
M6,M603b,3,37.5,0.75,0.405,0.43,na,na,0.405,0.43,0.4175,15.65625,0.739444456,36,56,40,38,170,9,9,9,9,36,47222.22222,1770833.333,83636.43211,4.922395498,113107.1191,5,0.004,0.07,0.03,0.007,0.072,0.035,0.066,0.026,0.065,0.028,0.0655,0.027,0.731385,27.4269375,27.4269375,15.48815294,1.751820359,1295.373852,1.295373852,0.112395126,21.17298991,M603b,4.43359518,4.584623026,0.034064419,3.406441949
M6,M601c,1,20,1.5,1.086,1.025,na,na,1.086,1.025,1.0555,21.11,1.252097588,152,143,197,183,675,1,2,1,1,5,1350000,27000000,1601451.203,6.20451371,1279014.685,5,0.007,0.112,0.046,0.01,0.118,0.049,0.105,0.039,0.108,0.039,0.1065,0.039,1.192335,23.8467,23.8467,0.883211111,1.129639981,1414.419496,1.414419496,0.150578234,16.85970822,M601c,3.06684,3.238359161,0.055927,5.592700017
M6,M603d,3,30,1.5,0.774,0.764,na,na,0.774,0.764,0.769,23.07,0.974443583,191,129,200,248,768,2,2,2,1,7,1097142.857,32914285.71,1390252.038,6.14309354,1426713.728,5,0.013,0.215,0.094,0.019,0.223,0.104,0.202,0.081,0.204,0.085,0.203,0.083,2.26717,68.0151,68.0151,2.06643099,2.948205462,2872.859895,2.872859895,0.458314447,23.67504942,M603d,3.879761926,4.099341414,0.056596124,5.659612422
M6,M602a,2,45,1.5,0.493,0.455,na,na,0.493,0.455,0.474,21.33,0.912292354,102,119,134,141,496,3,2,4,3,12,413333.3333,18600000,795529.1972,5.900656124,872011.2518,5,0.006,0.052,0.021,0.009,0.055,0.026,0.046,0.015,0.046,0.017,0.046,0.016,0.51554,23.1993,23.1993,1.247274194,1.087637131,992.2430379,0.992243038,-0.00338194,23.38066292,M602a,4.905609208,5.078768186,0.03529816,3.529815986
M6,M6RNi,i,37.5,1.5,0.939,0.91,na,na,0.939,0.91,0.9245,34.66875,1.763737424,128,115,126,103,472,5,5,3,4,17,277647.0588,10411764.71,529687.9485,5.724020092,300321.3184,5,0.017,1.231,0.395,0.019,1.239,0.4,1.214,0.378,1.22,0.381,1.217,0.3795,13.66743,512.528625,512.528625,49.22591314,14.78359113,26074.37294,26.07437294,1.416213873,19.6564123,M6RNi,3,3,0,0
M7,M703a,3,35,1.5,1.085,1.242,na,na,1.085,1.242,1.1635,40.7225,1.399786245,114,108,154,130,506,5,4,2,4,15,337333.3333,11806666.67,405839.7594,5.608354592,289929.8095,5,0.025,1.689,0.562,0.034,1.717,0.585,1.664,0.537,1.683,0.551,1.6735,0.544,18.779945,657.298075,657.298075,55.67177372,16.14090675,22593.81925,22.59381925,1.35398965,29.09194182,M703a,3,3,0,0
